general-only,survey-response,race,district,full-name,last-name,dob,,residence,party,education,background,web,social-fb,social-tw,headshot,a1,a2,a3,a4,a5,a6,q1,q2,q3,q4,q5,q6,sn1,sn2,sn3,sn4,sn5,sn6
,YES,harford-county/county-council,E,Bridgette Johnson,Johnson,,,Churchville,Democratic,"B.A. with a concentration in Government and International Relations from the University of South Carolina. Master of Planning from the University of Maryland, College Park.",I have been working in the field of economic development for the last 16 years.,http://www.johnsonforharford.com,BridgetteJohnsonForHarford,,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/296249/4299906/95-08b31289c4e32ac5fb3ad14f1e42577d_5609-_Bridgette_Johnson.jpg,"The administration has achieved success with its Green Initiatives and continuation of the Agricultural Preservation Program.  Allocating resources in the amount of $1.2 million for a school resource officer in each middle school and providing funding for additional security measures in all county public schools provides an extra layer of protection for our children. The public relations, marketing materials and videos promoting Harford County are consistently released to the public.  The deterioration and devaluation of the Rt.40 Corridor didn't start under the current administration and it hasn't improved under the current administration.  The Rt. 40 corridor is a major commercial area located within the development envelope. The redevelopment of the corridor is vital to future economic and business growth in Harford County. To spur interest and investment in the redevelopment of the Rt. 40 corridor the public sector (government) will need to have vision, flexibility and creative incentive packages.  Tourism/Hotel Occupancy Tax – Harford County Bill No. 14-035 - Revise the current legislation to redefine or eliminate the ""tourism and/or tourism related activities"" as a qualifier for the Hotel Occupancy Tax Bill. Transparency is needed to track all of the revenue collected including the portion not awarded to non-profits and municipalities. Ensure the communities located outside of the municipalities receive a dedicated percentage of the hotel tax collected in their respective areas to be used towards community and economic development improvement projects. Support a designated percentage of the hotel tax to be annually allocated to the Visit Harford organization.","Yes, Harford County has adequate resources to meet the needs of funding public schools and law enforcement.  The goal should be to utilize the resources effectively and responsibly while increasing the tax base through economic development and smart growth. As the overall tax base increases the resources available for public schools, law enforcement, county employees, road improvements, snow removal and other public services increases.","Over the past three years, Harford County has experienced very little growth in terms of redevelopment and new development projects.  Business attraction and retention have been stagnant in Harford County as two big economic development and employment deals went to a neighboring county.; Lidl, a German supermarket chain and an Amazon distribution center both located in Cecil County.  Additionally, Medline Industries is moving from its current location in Harford County to Principio Business Park in Cecil County nearly tripling the company's workforce and adding 200 new jobs.  The Proposed Fiscal Year 2019 Operating Budget has record-level funding of $22 million from revenue dedicated to preserving agricultural land.  Preserving open space and agricultural land increases the quality of life for residents of Harford County. However, there are neighborhoods and communities within the county in need of investment, development and redevelopment projects t to increase the quality of life and living standards.",The Harford County Department of Community Services and the Office of Drug Control Policy are doing a good job with its efforts to educate and combat the opioid addiction epidemic. The Department of Community Services offers a wide array of services to residents and does an outstanding job of communicating through public relations and media campaigns.  The opioid epidemic is a national crisis and Harford County has done a satisfactory job in trying to combat the crisis.,There is always room for improvement between law enforcement and the community they serve.  Establishing a relationship with members of a community or a particular neighborhood is essential for the purpose of preserving the peace and creating trust between officers and residents.   Recruiting and hiring law enforcement officers that live in the communities they police as well as sharing similar backgrounds and experiences increases the opportunities for successful partnerships and relationships.,The successful Fire & EMS Association should always have a voice and a seat at the table when decisions are made about the particulars of the Emergency Medical Response System in Harford County. The transition is still fairly new and will need to be observed and evaluated by measurable and quantifiable results over the coming years.,What do you consider the greatest accomplishments and failings of the Glassman administration?,"Does Harford County have adequate resources to meet its needs, particularly in the funding of public schools and law enforcement?",Have the county’s land use policies adequately balanced growth and the preservation of existing communities and agricultural land?,"How do you rate the county’s efforts to fight opioid addiction overdoses? What else, if anything, should the county be doing to combat the epidemic?",How would you characterize the relationship between the Harford County Sheriff’s Office and the communities it serves? Are any reforms necessary?,The Glassman administration is trying to lead Harford County’s formerly all-volunteer fire and emergency medical services to more a professional organization with more paid personnel. How do you rate the county’s effort and what should have or could have done differently in this controversial transformation?,Glassman record,Taxes,Land use,Opioids,Sherrif's office,Fire/EMS
,NO,harford-county/council-president,,Shawn A. Kingston,Kingston,,,,Republican,,,,,,,,,,,,,,,,,,,Glassman record,Taxes,Land use,Opioids,Sherrif's office,Fire/EMS
,NO,harford-county/county-council,C,Karen Kukurin,Kukurin,,,,Democratic,,,http://www.kukurin4districtc.com,,,,,,,,,,,,,,,,Glassman record,Taxes,Land use,Opioids,Sherrif's office,Fire/EMS
,NO,harford-county/county-council,A,Paula R. Mullis,Mullis,,,,Republican,,,,,,,,,,,,,,,,,,,Glassman record,Taxes,Land use,Opioids,Sherrif's office,Fire/EMS
,YES,harford-county/county-council,B,Suzanne Oshinsky,Oshinsky,,,Bel Air,Democratic,"I received my B.A. from Columbia University in Asian and Middle Eastern Cultures,  with a minor in Environmental Science,  and was chosen to be a Centenniel Scholar.  I completed my M.A. in Near Eastern Studies at UC Berkeley.","I have worked as an educator, as well as being a writer and editor for several in print and online publications. I am also a mom to two kids with special needs, one of whom I homeschool, who have been my chief occupation.",,,,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/296249/4299906/99-bf607f61836e33b08f78a33b45b82d0e_mommy1a.png,"I appreciate that Glassman's administration has begun to bring more awareness to  mental health issues. However, local mental health resources are still inadequate. We also need to be concerned that Glassman was very quickly able to find $1.5 million in the budget for SRO officers to be placed in our schools, but has underfunded teacher's salaries in Harford County year after year.","Harford County has consistently declined to fully fund public education, which has led to stagnant salaries, causing some of our best and most experienced teachers to leave for other counties. I know from my own experience that children with special needs are falling through cracks. Meanwhile, all children would benefit from smaller classroom sizes, experienced, well-trained and respected teachers,  and programs to meet a variety of needs.","I am concerned that development and zoning changes have occured haphazardly, without input from the people in the communities and farm families affected by growth.  Current land use policy has already created traffic issues and has done little to spread resources equitably throughout all parts of Harford County.","The county has been very active in fighting the opiod epidemic from a law enforcement perspective. However, we are severely lacking in mental health care resources, as well as support for families struggling with mental health and other related issues, such as disability. In particular, there is a dearth of  pediatric psychiatrists and therapists, and the few practices available locally often do not take health insurance, causing families to have a difficult time obtaining regular, consistent care.","I believe there is generally a positive relationship between the Harford County Sheriff's Office and the communities it serves.  I do feel that the Sheriff's office would do well to adopt a community policing strategy, allowing police officers to be part of and familiar with the local community they serve.  I would also like to see more opportunities for members of the community with special needs to develop positive, constructive relationships with law enforcement.",I appreciate Glassman's efforts to ensure that our fire and emergency medical needs are adequately met.,What do you consider the greatest accomplishments and failings of the Glassman administration?,"Does Harford County have adequate resources to meet its needs, particularly in the funding of public schools and law enforcement?",Have the county’s land use policies adequately balanced growth and the preservation of existing communities and agricultural land?,"How do you rate the county’s efforts to fight opioid addiction overdoses? What else, if anything, should the county be doing to combat the epidemic?",How would you characterize the relationship between the Harford County Sheriff’s Office and the communities it serves? Are any reforms necessary?,The Glassman administration is trying to lead Harford County’s formerly all-volunteer fire and emergency medical services to more a professional organization with more paid personnel. How do you rate the county’s effort and what should have or could have done differently in this controversial transformation?,Glassman record,Taxes,Land use,Opioids,Sherrif's office,Fire/EMS
,NO,harford-county/county-council,C,Patti Parker,Parker,,,,Republican,,,,ParkerforHarford,,,,,,,,,,,,,,,Glassman record,Taxes,Land use,Opioids,Sherrif's office,Fire/EMS
,YES,harford-county/county-council,F,"Winifred ""Wini"" Roche",Roche,,,Havre de Grace,Democratic,Towson University Grad- B.S.  Mass Comm - 1994   Cambridge South-Dorchester  High Grad- 1987,"I have worked for 24 years as a tourism professional and business promoter. Most of this time I worked for local or county Government. For the past 3 years I have owned my own consulting firm and have consulted for the Maryland Tourism Coalition.   Dorchester County Tourism 9 years    * Founder of Sailwinds Park & Heritage Tourism effort in County Havre de Grace Office of Tourism 3 years*Creator of First Fridays Harford County Office of Economic Development 9 years  *Advocated for hotel tax and creation of Visit Harford, Inc. , LPGA Liaison, Coordinated successful County promotions such as Love it Campaign, Restaurant Week and Taste of Harford  Roche & Associates /MTC 3 years *Increased MTC membership,  raised profile of Maryland's tourism industry  and successfully lobbied for 1 million increase in state tourism Funding along with other state-wide tourism issues.",https://electwiniroche.com,,,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/296249/4299906/44-4b4e3714ecd490835aa6cc1b1df165ec_1a-LARGE-Roche-Wini18MF.jpg,"I would consider the greatest accomplishments of the Glassman administration the funding of the community schools for Havre de Grace which were desperately needed, finally enabling and implementing a hotel tax (after stalling it for years in Annapolis prior), and  taking a first step forward to fund school resource officers in middle and high schools.   The greatest failing would be the 2015 reorganization of the Office of Economic Development (not including the privatization of tourism which I support)  which included a   "" modern day approach"" to economic development by moving to rented  co-working space on Route 40 under the auspices of providing low cost space to  business start ups and County economic development professionals in a shared collaborative setting. The  approximate 12,000 square foot of space has been largely under utilized since this time and the office has just reorganized for a second time in 4 years.","There are currently not enough resources being allocated since MSDE reports an approximate 2 million shortfall annually in funding in recent years. Most importantly instructional salaries still lag behind comparable counties and we must bring those salaries up to a competitive level.  There remains a critical need for improvement in closing education gaps, expanding programs and services.   I would also like to see more support in schools for guidance counselors and the responsible use of technology and social media. The new program A Peaceful Alternative and peer to peer support groups are  a great step forward here.  I am an advocate for restorative programs to promote more community responsibility in our students. There is also a need for more vocational training and I would  support measures to build another technical school since there is a growing need for trade skills in our society.   More before and after care offered through the schools is a need in throughout the school system but particularly in District F.    I will also be a strong advocate for maintaining funding for music and drama programs. The move to fund school resource officers is a positive first step forward but additional funds will need to be identified to  adequately safe-guard ALL of our schools. This is a costly but necessary measure.","We need to continue to strive toward smart growth. There is a planned area in the County for development with public water and sewerage called the Development Envelope. This is a good concept and works to keep more intense housing and commercial zoning in designated areas while also helping to keep the rural character of the county intact. The 2016 Annual Growth Report shows Harford's current Development Envelope has enough empty land to build 16,953 new dwelling units (houses, apartments, etc.).  Up-zoning properties outside the Development Envelope hurts restoration and possible revitalization of existing, older areas as it is cheaper to build ""new"" on farmland rather than to renovate or replace existing buildings. In the 2017 CZR there is a combined potential loss of 168 acres of agricultural zoned property outside the Development Envelope.  We need to be mindful of the delicate balance between growth and quality of life remains an ongoing effort.","I am pleased with measures taken in the FY 19 budget to increase funding to the Mobile Crisis Team but we have a long way to go on this issue. We need to look at more intervention and support programs being available for people before they turn to opioids.  The County suffers from a lack of mental health providers for children. Many of the issues that cause people to turn to drugs could have been addressed through counseling or better coping abilities that can be taught when issues are identified in time. Every effort should be made to retain or attract more resources, especially physician providers to this area since teen depression, addiction, and suicide continues to be on the rise.","I would characterize this relationship as a work in progress like most communities across the country. Policing in this country has changed dramatically on a national scale over recent years and the narrative of abuse and racial intolerance vs. a growing disrespect for law enforcement  has and will definitely impact suburban communities like Harford County that serve such diverse populations.  The police -community relationship should begin early in the school system so that a trust between one another can be established and built on upon a neutral common ground. Like mutual respect in any relationship it (Respect) has to be earned over time. Adding trained school resource officers in all schools at the elementary level will go along way to improve this relationship. Sensitivity training should be taught to  law enforcement officers in regards to their communities. In turn, children should be taught that police officers and other people of authority should receive respect and to respond otherwise can be perceived as an act of aggression and can unnecessarily escalate situations.  As a daughter of a career law enforcement professional, I would like to foster this greater understanding so that all communities in Harford County can move forward together.","It is my understanding that the program currently in place is to supplement the volunteer efforts of our local fire companies and emergency medical services. Due to the increasing population call volume has increased which is requiring more services from volunteer personnel. I support this measure in its intent to ""test an idea"" and plan for the future sustainability of emergency response/care for County citizens.  The administration should strive for open lines of communication between these volunteer service providers to ensure that efforts are complimentary to what is being provided and not redundant as they test the effectiveness  of this  pilot program. Hopefully the new Emergency Medical Services Standards Advisory board  can establish performance measurements and evaluate  the cost effectiveness through data collection program while building upon the proud heritage and hard work  of our volunteer fire fighter and EMS community.",What do you consider the greatest accomplishments and failings of the Glassman administration?,"Does Harford County have adequate resources to meet its needs, particularly in the funding of public schools and law enforcement?",Have the county’s land use policies adequately balanced growth and the preservation of existing communities and agricultural land?,"How do you rate the county’s efforts to fight opioid addiction overdoses? What else, if anything, should the county be doing to combat the epidemic?",How would you characterize the relationship between the Harford County Sheriff’s Office and the communities it serves? Are any reforms necessary?,The Glassman administration is trying to lead Harford County’s formerly all-volunteer fire and emergency medical services to more a professional organization with more paid personnel. How do you rate the county’s effort and what should have or could have done differently in this controversial transformation?,Glassman record,Taxes,Land use,Opioids,Sherrif's office,Fire/EMS
,YES,harford-county/county-council,D,Jean M. Salvatore,Salvatore,,,Bel Air,Democratic,Bachelor's Degree in English Master's Degree in Administrative Science,"I am retired from Federal Service, spending most of my 34-year career at Aberdeen Proving Ground as a logistician and logistics chief.  I am an adjunct faculty member at Harford Community College and the founder and president of Best Friends in Harford County, an animal welfare non-profit organization.",,,,,"Mr. Glassman has restored some of the promised pay increases to Harford County teachers that the previous executive cut.  But there needs to be a stronger commitment from local government to both listen to and adequately resource the teachers and staff in our public schools.  Under Mr. Glassman, Harford has retained its agricultural heritage and rural areas , which is an aspect very many of us enjoy and appreciate  - open fields, farmers' markets, and walking trails.  I believe we need stronger leadership in planning for and ensuring a healthy, sustainable environment in the decades to come, to include strong protections for our streams, air,  and open spaces,  as well as growing ""green"" jobs in Harford that will help both the environment and the economy.","If we make schools and law enforcement priorities, I am certain we can resource them adequately.  Harford is fiscally sound, but where we direct funds depends on what citizens and their representatives in government feel are the most important issues to address.  The county could do a better job of including public comment to bills, including the budget, before they are voted on.  Notice of council and budget meetings could be better advertised to allow more interested residents to attend.","Agricultural preservation has local support, and the development envelope has been the designated ""growth zone"" for decades.  However, the county does not do an adequate job of giving notice of proposed development to allow public comments.  HarfordNEXT is a good step toward providing a way for residents to comment on future plans on a variety of topics, including development and open space, but it has not yet proven to be effective in influencing decisions and has not generated as much input as anticipated.  The county needs to offer residents more ways to be part of the process and create more interest in giving input to the policies and planning that will shape Harford's future for generations.","The opioid epidemic is a complex issue that all too many communities face today and needs health care experts to help provide solutions.  Addiction requires treatment, so every overdose incident should be followed up to ensure treatment, family counseling, and long-term monitoring are provided.  To be truly effective, rehabilitation needs to address not just addiction but related issues that could lead to relapse.  Suing drug manufacturers as a county may or may not be an effective tactic, but it will not address the current crisis.  We need education at all levels, in school and in the community, to recognize addiction and how to seek help for oneself and for others.  We also need health care providers to offer options for pain management other than opioids, including medical marijuana.","The Sheriff's Office has a good relationship with Harford communities in that their personnel are trusted to offer professional and timely service to residents in need.  Collective bargaining is long overdue, and that change will help to attract and retain highly professional deputies.","I have not followed the administration's proposal closely so will not give an opinion on this subject.  I believe the volunteer services are very good, but I think that a county of our size, with continued growth, should move to paid professional fire and EMS services.",What do you consider the greatest accomplishments and failings of the Glassman administration?,"Does Harford County have adequate resources to meet its needs, particularly in the funding of public schools and law enforcement?",Have the county’s land use policies adequately balanced growth and the preservation of existing communities and agricultural land?,"How do you rate the county’s efforts to fight opioid addiction overdoses? What else, if anything, should the county be doing to combat the epidemic?",How would you characterize the relationship between the Harford County Sheriff’s Office and the communities it serves? Are any reforms necessary?,The Glassman administration is trying to lead Harford County’s formerly all-volunteer fire and emergency medical services to more a professional organization with more paid personnel. How do you rate the county’s effort and what should have or could have done differently in this controversial transformation?,Glassman record,Taxes,Land use,Opioids,Sherrif's office,Fire/EMS
,YES,harford-county/county-council,D,Jerry Scarborough,Scarborough,,,Street,Republican,Graduated from Edgewood High School and one class of Criminal Justice at Harford Community College,Retired Maryland State Trooper and Business Owner for 26 years.,,,,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/296249/4299906/99-656f557219a6b3a589db7a7f60351972_13268335_10154281209988701_275489606747128042_o.jpg,The Non Transparency of this Administration bothers me.....Everything seems to be a secret.......Property and Buildings are being bought at 2-3 times it's appraisal.......Housing is out of control......Developments are popping up everywhere......We literally cannot move on our roadways.,The Harford County Executive received a 25% raise and the Harford County Council gave themselves an 18% raise while giving County Employees a 3% raise to be distributed over time.....Councilman Mike Perrone is the only councilman that voted against the raise...Teachers use their own funds to buy supplies to teach the children.....Harford County Sheriff's Dept. is a top notch department....The Deputies deserve more than they received.....,No...We are overgrown in Harford County....,I believe the Police Agencies are doing everything possible to take control of the Opioid Addiction but are at a loss.....As a retried Trooper I have never seen a drug problem as severe as this....Parenting at home is the answer to the epidemic....,Harford Countians respect the Harford County Sheriff's Dept.....This was obvious in February of 2016 when two Deputies gave their lives to protect others...,"The more developments we build,,,,the more we stress our Fire, EMS and Police Services.....Barry Glassman literally bought two ambulances and had no place to store them...It was like buying a horse and not having a barn to house the horse....It will cost Harford Countians a fortune if this Medic Service survives....It takes a minimum of 8 Paramedics per Ambulance.....I'm a Volunteer Fire Fighter....We already have ambulances and sometimes cannot get them out with a lack of volunteers.....We already have a paid Foundation Medics/Ems system.....Simply take the Paramedics and place them around Harford County Fire Houses where they are needed....Why buy more Ambulances when we already have them and they are mostly paid for?  It would also save tons of money because we wouldn't have to build Ambulance Facilities around the County.....Barry Glassman wants to become the next Governor and is trying to impress the future voters...",What do you consider the greatest accomplishments and failings of the Glassman administration?,"Does Harford County have adequate resources to meet its needs, particularly in the funding of public schools and law enforcement?",Have the county’s land use policies adequately balanced growth and the preservation of existing communities and agricultural land?,"How do you rate the county’s efforts to fight opioid addiction overdoses? What else, if anything, should the county be doing to combat the epidemic?",How would you characterize the relationship between the Harford County Sheriff’s Office and the communities it serves? Are any reforms necessary?,The Glassman administration is trying to lead Harford County’s formerly all-volunteer fire and emergency medical services to more a professional organization with more paid personnel. How do you rate the county’s effort and what should have or could have done differently in this controversial transformation?,Glassman record,Taxes,Land use,Opioids,Sherrif's office,Fire/EMS
,YES,harford-county/county-council,E,Diane L. Sengstacke,Sengstacke,7/11/1955,,Bel Air,Republican,"JD University of Baltimore; AA Paralegal studies Villa Julie College, n/k/a Stevenson University; BS General Studies Dance Core Towson State n/k/a Towson University","Attorney - Principal Member, Sengstacke & Evans, LLC; and President, Home Title Co. of Md., Inc.",,,,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/296249/4299906/95-709051fa7c4022faad81af2d0cd84b90_Head_Shot._LEO9497.jpg,"Glassman's Admin. accomplishments include 1. Fiscally responsible keeping the AAA Bond rating, giving a long time overdue pay raise to the teachers and police; 2. Bringing an upgrade in technology to H.Co. govt. from the snow truck tracker to online registration for lien certificates/permits; 3. helping to increase jobs and business development with grants & tax incentives, 4. working well with the Sheriff's department to increase the safety in H. Co.  We need to improve 1. increasing our culture, parks and rec programs & facilities, increase the local shopping , hotels & restaurants, tourism opportunities by funding events & capital projects in the county like funding the Maryland Center for the Arts, help the Havre de Grace Opera House, bring in events/concerts/sports events , help improve Cedar Lane fields and/or another venue to bring in sports tournaments and families (prevent them from going to other counties); use the Ripken Stadium, use the Arena Center at HCC, and other gems in our county 2. updating our infrastructure - roads/bridges/ water & sewer 3. funding the opioid crisis help, and 4. funding to employ more security resource officers at our schools.","No, we need more funding for our public schools and law enforcement. We need to work with the State and Federal government to increase the funding.  1. School safety is of utmost importance.  We need a trained person, Security Resource Officer (not the teachers) at every school or group of schools. We need cameras installed. We need a lock down system/practice drills in place if the need would ever arise. We may need to re-structure some of the open classroom schools for more security.  All of this is costly and needs to be properly budgeted.  Other sources of funding need to be investigated as well.  2. Besides school safety, I'd like to see increase funding for technology in our schools - use of the interactive ""blackboard"" in every classroom, laptops for the students to take to and from school for homework, increase communication between students and teachers. 3. I'd like to see increase funding for special programs and extra-curricula activities (sports/clubs/drama/music) , one in particular, is the ""middle college"" where high school students can take college courses and earn college credit at Harford Community College.","Yes, but we need to keep planning for the future.  We have just passed a new Master Plan that will help lead us with future growth.  The Harford Land Trust and State preservation programs help with land preservation of farms and large acreages of property.  But we need to be ready for future growth and not let it happen haphazardly. I think the millennial generation is ready to move out from their parents homes and basements.  They will be looking for affordable housing.  They will need townhomes, condominiums, apartments, and/or starter homes.  We want to provide them a place to live and raise their families in our County.  We need to help the builders/developers create the housing opportunities.  Lower the permitting fees, so that the costs are not passed through to the consumer.","We need to do more!!  We need to fight and destroy this epidemic.  It's killing our people.  We need to stop the supply and demand of the business - 1. catch and prosecute the drug distributions, create the laws to prosecute them for MURDER, strict sentencing for years (not catch and release) that will deter the gangs from coming into this county. But this is a statewide, national wide problem - we need to work with other jurisdictions too! 2. We need to work on the rehabilitation and treatment programs. Help fund them. Try to help the people get off the addiction. 3. Try to help people before they would ever start the drugs. I think this is a spiritual/psychological matter. We need to help churches and synagogues who give spiritual guidance.  I probably will be criticized for this, but I would like to see something in the schools. I would love to see prayer brought back to schools. Teach our children at a young age","The relationship of the Harford County Sheriff's Office and its communities is great! We are so very proud of our Sheriff and the deputies.  Sheriff Gahler speaks for us. He has been on the national news many times fighting for our rights, protection and safety.  He has spoken about the two deputies who tragically died a few years ago, to the opioid crisis, to school safety.","I grew up in Baltimore County where the fire and EMS personnel are paid by the County government. I think that will eventually happen in Harford County. But, I understand the controversy and that each local Harford County fire department wants to keep its own autonomy and control their own budget.  The local fire halls are concerned about keeping their money.  I think there should be collaboration between all concerned and work on a way to guide a transition. Communication is the key.  There should be meetings and talks set up with leaders from every fire hall with a professional mediator.  There is a lot to consider and everyone needs to understand the others point of view.  Perhaps a timeline for transition could be worked out.  There are benefits for having the County government  involved.",What do you consider the greatest accomplishments and failings of the Glassman administration?,"Does Harford County have adequate resources to meet its needs, particularly in the funding of public schools and law enforcement?",Have the county’s land use policies adequately balanced growth and the preservation of existing communities and agricultural land?,"How do you rate the county’s efforts to fight opioid addiction overdoses? What else, if anything, should the county be doing to combat the epidemic?",How would you characterize the relationship between the Harford County Sheriff’s Office and the communities it serves? Are any reforms necessary?,The Glassman administration is trying to lead Harford County’s formerly all-volunteer fire and emergency medical services to more a professional organization with more paid personnel. How do you rate the county’s effort and what should have or could have done differently in this controversial transformation?,Glassman record,Taxes,Land use,Opioids,Sherrif's office,Fire/EMS
,YES,harford-county/county-council,D,Chad R. Shrodes,Shrodes,12/28/1973,,White Hall,Republican,"I'm a lifelong resident of Norrisville, a father, a graduate of North Harford High School, Harford Community College and Towson University; and former land use planner for the County and State, currently serving a third term as Councilman. I have a BS in Land Use and Environmental Planning. My Council experience, planning background, understanding of sound planning practices, and level of local knowledge have been vital to the success of the council this term and in past terms. My experience will continue to be important as the next Council will include three or more new members.","In addition to my tenure on the Council, I have more than two decades of land use planning experience, with specific experience in the fields of transportation, the environment, and historic and agricultural land preservation. I have also worked as a Real Estate Agent for 11 years.  I am a graduate of the Maryland Academy for Excellence in Local Governance, the Harford County Leadership Academy, and the Harford County Sheriff's Office Citizens Police Academy.",http://www.chadshrodes.com,CouncilmanChadShrodes,,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/296249/4299906/95-d06f8370db09e06179c5542789b030eb__TS24618_MODIFIED.jpg,"I am proud to have supported the Administration's restoration of pay increases for law enforcement, teachers and Harford County Government employees, renewed investment in agricultural preservation, and new tax credits for seniors and veterans. Further, the Administration's efficiency initiatives have significantly increased the County's fund balance and contributed to the County's continued Triple A Bond Rating. This has been accomplished without raising taxes. I value the Administration's efforts to ""investment in people"", and support their efforts to address mental health crisis in Harford County and reduce homelessness. Further, I support the Administration's investments in public safety including the recent announcement of funding for student resource officers in Middle Schools. Moving forward I'd like to work with the County on improvements to public transportation and safety including additional support for first responders and student resource officers in elementary schools.","I am proud of the progress we have made including restoring salaries to teachers and first responders, while building the County's fund balance. I feel the County has met needs adequately without raising taxes. I support efforts to increase State funding for our schools, our highways, and public safety and the County's efforts to recover losses caused by the opiate epidemic, from pharmaceutical companies.","I believe that the County's land use policies have adequately balanced growth, while preserving productive agricultural and natural resources. The ""Development Envelope,"" has helped to direct new residential and commercial development into designated growth areas. Harford County is a leader in the country for land preservation programs; to date, Harford County has protected over 50,000 acres.  I was proud to have championed the expansion of the Maryland Rural Legacy Program and Priority Preservation Area (PPA) boundaries to include the ""Upper"" Deer Creek Watershed.  During my first term, I was instrumental in creating legislation that strengthened our County's already renowned land preservation easement program to encourage greater participation from prospective landowners.   Most recently, I was an advocate for the newly adopted land preservation incentive areas (productive farmland nearest to our designed growth areas under the greatest development pressure).  I look forward to working with the Administration to develop innovative ways to continue to balance growth, protect the character of our rural and village communities, and enhance the quality of life for all residents of Harford County.","Harford County is a leader in the State and the Country in pioneering initiatives to fight the opiate epidemic including award-winning awareness campaigns, arts programs, peer to peer messaging, peer recovery coaches, agency partnerships, and an outstanding prevention team- the Harford County Office of Drug Control Policy.  In 2017 the Office leveraged the County's investment of $250,000 into more than a $1 million dollars for treatment and recovery. We are also fortunate to have ACR, a nonprofit organization that offers 24/7 support for individuals seeking treatment, in our County. Harford County Government and its partners (Harford County Sheriff's Office, schools, hospitals, health department, Court System, CORE, etc.) have done a tremendous job raising awareness about the epidemic and are working daily to reduce the barriers to treatment and recovery. Moving forward, we must continue to work together to address gaps in our communities. We need treatment beds for youth, mental health interventions for middle and elementary school children, transitional/recovery housing, teen diversion and re-entry programs, and resources to support long-term sobriety. Further, we need to partner with the defense community to protect our first responders, and find more effective ways to detect fentanyl.","The Harford County Sheriff's Office has an excellent Community Policing Team which includes School Resource Officers in high schools and soon middle schools. The School SROs are trusted confidants for students and dedicated public servants. The HOPE Group, HOPE Trailer, and participation at events like Project Homeless Connect, Drug Take Back Events, and School Resource Fairs are well attended by all of our partners in law enforcement and I commend them for making community outreach a high priority. I support increasing positive interaction opportunities like these.","Harford County is fortunate to have exceptional volunteer fire and emergency medical services which play a critical role in protecting our community. I strongly support our first responders and I am grateful for their service. They have a difficult and dangerous job to do. I am an advocate for funding necessary renovations, protective gear, and efforts to improve the quality of life of our volunteer first responders.",What do you consider the greatest accomplishments and failings of the Glassman administration?,"Does Harford County have adequate resources to meet its needs, particularly in the funding of public schools and law enforcement?",Have the county’s land use policies adequately balanced growth and the preservation of existing communities and agricultural land?,"How do you rate the county’s efforts to fight opioid addiction overdoses? What else, if anything, should the county be doing to combat the epidemic?",How would you characterize the relationship between the Harford County Sheriff’s Office and the communities it serves? Are any reforms necessary?,The Glassman administration is trying to lead Harford County’s formerly all-volunteer fire and emergency medical services to more a professional organization with more paid personnel. How do you rate the county’s effort and what should have or could have done differently in this controversial transformation?,Glassman record,Taxes,Land use,Opioids,Sherrif's office,Fire/EMS
