general-only,survey-response,race-municipality,race-name,race-district,full-name,last-name,dob,residence,party,education,background,web,social-fb,social-tw,headshot,a1,a2,a3,q1,q2,q3,sn1,sn2,sn3
,NO,Anne Arundel,County Council,4,Torrey J. Snow,Snow,,Odenton,Republican,,,http://www.snow4liberty.com,Snow4Liberty18,snow4liberty,,,,,,,,,,Taxes
,NO,Anne Arundel,County Council,3,Nathan Volke,Volke,,Pasadena,Republican,,,https://www.nathanvolke.com,votevolke,nathanvolke,,,,,,,,,,Taxes
,YES,Anne Arundel,County Council,7,Jonathan Boniface,Boniface,11/7/1973,Crofton,Republican,"Bachelor of Science, Frostburg State Class of 1995, Leadership Anne Arundel Flagship Class 2017","District Manager, Retail Financial Services; Management, Retail Banking",https://www.jonathanboniface.com,bonifaceforcc,JBonifaceD7,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/296249/4299924/99-b8f625186d18a8b5ef20121e8c22af0f_Boniface_J_Headshot.jpg,"I am a strong proponent of completing and/or updating the 16 Anne Arundel County small area plans as part of the 2019 General Development Plan. The small area plans for many of the 16 areas were last updated 14-18 years ago and in the areas that have seen significant growth (such as Crofton, Odenton, Pasadena, Severna Park, and Edgewater), those plans are outdated. The General Development Plan is a blueprint that should be strictly followed during the comprehensive rezoning process. Waiting to update the small area plans for the next General Development Plan in 2027 is unconscionable.","The teachers of Anne Arundel County took quite a hit since the 2008 recession and were asked to sacrifice quite a bit. If elected, I would like to see before me a plan to restore at least part of the step increases missed to those teachers that were employed with AACPS during those years. We, as a Council, would have to keep it within the scope of what the County could afford without increasing deficit spending.","I fully support the voter-imposed county tax cap and understand the fluctuation of the rate in surplus and deficit years. I would look for ways to increase revenues that do not include raising taxes and/or fees to support increased spending on education and public safety. Public safety is an area of particular concern to me as we continually ask our police and fire fighters to do the workload of one and a half to two people, thus putting their lives and the lives of those they serve at risk.",Should the county develop small area plans as part of the upcoming General Development Plan and Comprehensive rezoning process?,The Teachers Association of Anne Arundel County continues to advocate for a return of step increases given up during the 2008 recession. Should the County Council fund these increases?,"Do you support maximizing revenue under the county tax cap, or seeking additional revenues to support increased spending on education, public safety or other initiatives?",Development,Teachers,Taxes
,YES,Anne Arundel,County Council,6,Lisa Brannigan Rodvien,Brannigan Rodvien,1/26/1974,Annapolis,Democratic,"B.A. Cornell University, 1996 J.D. Catholic University of America, Columbus School of Law, 2000, magna cum laude M.Ed. George Mason University, 2007","After graduating from law school in 2000, Lisa clerked in the Washington D.C. Superior Court, Felony Division. She went on to practice Education Law for a boutique law firm in Washington, DC during the passage and early years of the No Child Left Behind Act of 2002. She worked with state education agencies as they implemented the law's new requirements. After working in that field, she eventually decided to move directly into the field of Education. She has been a public school teacher since 2007.",http://www.lisarodvien.com,friendsofLisaRodvien,LisaRodvien,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/296249/4299924/95-08214f1a9bbbb8517ac020edef269ae1_LDBR_Newspaper_Headshot.jpg,"Rather than creating brand new small area plans, the County should start its next comprehensive rezoning process by looking at the Small Area Plans used to form the 2009 General Development Plan. Community members spent enormous amounts of time and effort in creating these earlier small area plans. These plans should be used as a basis for revised and updated Small Area Plans that would guide the General Development Plan and comprehensive rezoning that process that will occur in the next years. Finally, it is critical that the County Council adhere to the zoning designations that result from the process.","The Anne Arundel County Council needs to fund teachers' lost steps. Teachers will continue to leave AACPS for better pay elsewhere and the school system's diminished workplace reputation will prolong recruiting difficulties. Furthermore, the current practice of hiring new teachers at higher salaries than veteran teachers will impair morale until the inequity is fixed.","Any discussion regarding a need for additional revenue should begin with a close examination of how funds are currently being used as well as a search for possible efficiencies. Furthermore, the County can create additional revenue by setting developer impact fees that cover 100% of the cost of the impact that development creates. Finally, Anne Arundel County's current tax rates are still well under the level of the tax cap. Before making moves to raise the county's tax cap, the County should look to other methods of increasing revenue.",Should the county develop small area plans as part of the upcoming General Development Plan and Comprehensive rezoning process?,The Teachers Association of Anne Arundel County continues to advocate for a return of step increases given up during the 2008 recession. Should the County Council fund these increases?,"Do you support maximizing revenue under the county tax cap, or seeking additional revenues to support increased spending on education, public safety or other initiatives?",Development,Teachers,Taxes
,YES,Anne Arundel,County Council,2,Candy L. Fontz,Fontz,10/21/1966,Glen Burnie,Democratic,I attended and graduated from Freeland High School (Freeland PA),"I am currently employed as an Executive Assistant for Electrical Workers, Inc. I was previously appointed as the Community and Constituent Services Liaison for former County Executive Laura Neuman. I also served as the Community Liaison for Delegate Ned Carey and Delegate Mark Chang.",,FriendsofCandyFontz,CFontz,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/296249/4299924/253-b1db41abfc32a1a5384559e566bb168a_IMG_6181.JPG,"Yes, I believe Small Area Plans are a key point in developing the GDP. Input gathered through the Small Area Planning process are vital to ensuring that all aspects are taken in to consideration for the future.",I believe the Council should consider Step increases for our teachers but it should be tempered by available funding.,I feel that additional revenue can be gained through the collection of fees associated with zoning violations.,Should the county develop small area plans as part of the upcoming General Development Plan and Comprehensive rezoning process?,The Teachers Association of Anne Arundel County continues to advocate for a return of step increases given up during the 2008 recession. Should the County Council fund these increases?,"Do you support maximizing revenue under the county tax cap, or seeking additional revenues to support increased spending on education, public safety or other initiatives?",Development,Teachers,Taxes
,YES,Anne Arundel,County Council,2,Tom Gardner,Gardner,10/2/1961,Glen Burnie,Republican,"Bachelor's Degree – Applied Science and Technology – Thomas Edison State University, 39 Credit Hours from Anne Arundel Community College.","23 years as an Army Aviator achieving the rank of Chief Warrant Officer 5 (Ret), Retired CIO for the Maryland Motor Vehicle Administration, Program Manager for Xerox State & Local Government, Director of Government Service for The Canton Group Past Chairman of the Anne Arundel County Spending and Affordability Committee Board of Directors – Tipton Airport Authority Co-Founder and President of Collective Technology Consultants.",https://www.friendsoftomgardner.com,TomGardnerCountyCouncil,,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/296249/4299924/191-5603158fe61c12e918d39b6f5ba558b3_Tom_Gardner.jpg,"The concept of using small area planning is a step in the right directions when doing comprehensive planning, however we must make sure the right balance of community members and leaders are involved in the planning. I support a General Development Plan that will not over burden, our infrastructure, schools, first responders, and nature or human resources.",I would support step increases moving forward if they are budgeted for and the economy allows for such an increase.,Anne Arundel's tax cap was enacted after overwhelming voter support and has been in place for years. I don't think the residents would not take kindly to having their cap changed. Unlike some of our neighboring counties are asking some of their public-sector employees to take a pay cut to balance their budgets. Our county is in great shape because of wise fiscally conservative decisions. Because of these decisions we will be able to meet our education and public safety needs in addition I plan on pushing for a 3 percent cut in property tax and the elimination of the Rain Tax.,Should the county develop small area plans as part of the upcoming General Development Plan and Comprehensive rezoning process?,The Teachers Association of Anne Arundel County continues to advocate for a return of step increases given up during the 2008 recession. Should the County Council fund these increases?,"Do you support maximizing revenue under the county tax cap, or seeking additional revenues to support increased spending on education, public safety or other initiatives?",Development,Teachers,Taxes
,YES,Anne Arundel,County Council,7,James Kitchin,Kitchin,11/7/1984,Crofton,Democratic,"BA in Business Administration MA in Interational Studies MA in Interdiciplinary Studies (Political Science and Education) PhD in Public Policy (In progress, projected completion is summer of 2019)",High School History & U.S. Government Teacher Public Policy Researcher,http://jameskitchin.com,james.carl.kitchin,james_kitchin,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/296249/4299924/44-f4c309d97b89204ce61beacd096ee64e_Kitchin-Headshot.jpg,"Yes, I believe that the Small Area Plans (SAPs) are important and should be incorporated into the General Development Plan and Comprehensive Rezoning. That being said, we don't need to start from scratch. First of all, we have cut the Department of Planning & Zoning to such an extent that they don't currently have the staff to re-do all 16 of the SAPs. Second, even if we had the appropriate level of staffing, to really do the SAPs well the county would have needed to start the process a couple of years ago. What I believe should happen is that Planning & Zoning should create a scorecard for each of the SAPs that shows which parts of them have been accomplished and which parts have not. This could then be used as a jumping off point for informing the new General Development Plan. Moving forward, Small Area Planning should be made an integral part of all future General Development Plans and Comprehensive Rezoning processes. Getting input from each of our communities is vitally important and it is really disappointing that it was not done better this time around.","Absolutely. The answer is an absolute ""yes."" There is both an efficiency and an equality component to this. In terms of efficiency, our veteran teachers who stuck with us through the recession are not making a competitive salary when compared to what they could make in surrounding jurisdictions (this is true of all of our teachers, but the situation is accentuated for our veteran ones who are multiple steps behind where they should be). We are losing more and more of them each year and their experience is irreplaceable. In the long run in would be more efficient, and more fiscally responsible, to pay the makeup steps and retain these teachers instead of spending the money on recruiting and training their replacements. In terms of equality, a new teacher with less experience can be hired in our county and make thousands of dollars more than a more experienced teacher that was loyal and stuck with us through the recession. Stop and think for a minute about how being treated so unequally could affect teacher morale. A public education is the cornerstone of a thriving democracy, and the backbone of any public education system is good teachers. We need to ensure that all teachers, and especially our veteran ones, feel valued by our county. Right now this is not the case, and a great step towards changing this dynamic is to make up the steps that were missed during the recession.","I don't want to pay a dime more in taxes than I have too. They say that we millennials have three mortgages: student loans, private childcare, and a housing payment. This is definitely the case for my family and me and so again, I don't want the government to collect any more revenues from us than is actually needed. That being said, I do want Anne Arundel County to collect enough revenue to provide county residents with the level of services that we both need and deserve. This includes having adequately staffed schools, police, and fire departments as well as paying these public servants a competitive salary when compared to other jurisdictions in the DC-Baltimore metropolitan area. To do this we will need more revenue. It's just math. The first way to bring in new revenue is to raise development impact fees to 100% of their true cost. This will free up the portion of our budget that we are currently using to subsidize development. Second, is to consider ways to have tourists pay more for their use of our roads and for being protected by our public safety departments. Third, we need to stop giving corporate welfare in the form of multi-million dollar tax breaks to already-profitable big businesses. However, if we are honest, we will have to end up looking at restructuring the tax cap. We can and should still have one, but the current structure of our tax cap puts too much strain on the county budget.",Should the county develop small area plans as part of the upcoming General Development Plan and Comprehensive rezoning process?,The Teachers Association of Anne Arundel County continues to advocate for a return of step increases given up during the 2008 recession. Should the County Council fund these increases?,"Do you support maximizing revenue under the county tax cap, or seeking additional revenues to support increased spending on education, public safety or other initiatives?",Development,Teachers,Taxes
,YES,Anne Arundel,County Council,6,Scott MacMullan,MacMullan,3/16/1981,Annapolis,Democratic,I graduated from Villanova University. After that I earned my Juris Doctorate from Widener University School of Law with a concentration in environmental law.,"I clerked for the former head judge of Anne Arundel County, The Honorable Nancy Davis-Loomis. I've been a general practitioner for 7 years now. I'm proud to have received an award for most pro bono hours given in Anne Arundel County in 2013.",https://www.electscottmac.com,electscottmac,smacmullan,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/296249/4299924/44-5353dd3e0f9649b77f6cad4e77e9fceb_scottmacmullan.jpg,"Yes, the county should develop small area plans. Those plans contained recommendations for future land use; facility and infrastructure needs; and areas to be targeted for revitalization, mixed-use development or land preservation. The 16 Small Area Plans were the byproduct of months – in some cases, years – of work on behalf of committees comprising community leaders. The problem is that many times these small area plans were not followed. We need to make sure these plans have more teeth to them. The planning and zoning office needs to have more oversight to make sure they are following the GDP and the Council must be held accountable to following the GDP.",The County Council does not directly fund step increases. The Council funds education and then the School Board and TAAAC negotiate salary increases. I would fight and advocate to fully fund our schools and educational needs. My experience in the community and on boards would help me build coalitions necessary to get the requisite votes to do this.,"I will support and advocate for additional education, environmental and public safety measures. In Anne Arundel County we need to first make sure we are maximizing additional revenue sources in the most efficient way. It is a priority that we fully fund our schools, first responders and invest in preventative and long term solutions to combat the opioid epidemic that is disproportionately hitting Anne Arundel County.",Should the county develop small area plans as part of the upcoming General Development Plan and Comprehensive rezoning process?,The Teachers Association of Anne Arundel County continues to advocate for a return of step increases given up during the 2008 recession. Should the County Council fund these increases?,"Do you support maximizing revenue under the county tax cap, or seeking additional revenues to support increased spending on education, public safety or other initiatives?",Development,Teachers,Taxes
,YES,Anne Arundel,County Council,5,Dawn Gough Myers,Myers,8/28/1971,Annapolis,Democratic,"Bachelor of Arts in Government and Politics, University of Maryland, College Park, Juris Doctor (cum laude), Tulane University, Master of Business Administration, Tulane University.","I worked for the State of Maryland as a budget and finance expert for almost 20 years. I began as a bill drafter and budget analyst for the Maryland General Assembly. From there, I became the Budget Director for the Department of Natural Resources, at the time a $500 million agency, and now I am the Director of Business and Finance for the Department of Physics at the University of Maryland, College Park. Over the course of my career as a public servant, I've drafted legislation, studied and implemented environmental, fiscal, education and smart growth policy, and ran complex government programs.",http://votefordawn.com,votefordawn,,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/296249/4299924/52-e5aa38058d430c414afaef264906ad18_Myers_Headshot_1-1-2.jpg,"Yes. Zoning affects the quality of life for citizens of Anne Arundel County. Small area plans allow neighbors of a small, contiguous, discrete area to interact directly with County planners on issues important to the area and what is needed to maintain or strengthen the member communities. For instance, the Broadneck Small Area plan spends a significant amount of time discussing Route 50 and Bay Bridge traffic concerns. If county employees do not live on the Broadneck Peninsula, and have no reason to travel there to regularly engage citizens, they could not adequately understand the enormity of the issue without regular first-hand accounts. Citizen participation in decisions that affect how and where the county grows and develops should be encouraged. The County should develop a meaningful and impactful Small Area Planning process.","Absolutely yes. With our current inadequate teacher salary scale and appalling history of not restoring step increases to teachers who went without during the recession, Anne Arundel County Public Schools (AACPS) is not a competitive employer for teachers in this state. Our County teachers currently suffer the indignity of working for an employer that pays new teachers with the exact same level of experience more money because they were not here to miss steps during the recession. Frankly, this situation is unconscionable. Teachers are a cornerstone of our democracy- they help us have a well-educated citizenry who will vote and participate in our society. Teachers who stayed through the recession are owed an apology and restoration of their steps. The County's school performance has precipitously declined since teachers have lost their steps. AACPS for the first time has no nationally ranked schools. We are ranked as low as 12th in the State for education, despite being one of the wealthiest jurisdictions in the State. The New York Times cited Stanford University researchers when it stated ""In Maryland's Anne Arundel County, third graders test above the national average. But growth there [between third and eighth grade] lags behind Chicago [Public Schools], where the poverty rate is about five times higher."" AACPS students between 3rd and 8th grade do not progress as much as students in Chicago Schools. If we want great schools in Anne Arundel County, we need to value teachers and pay them a competitive wage.","For 20 years, I have worked for the State of Maryland optimizing billions of dollars' worth of government expenditures. I would be remiss in making such a declaration without first examining the County budget in depth. Just from the publicly available budget and financial documents, I have learned that the school system ended the fiscal year on June 30, 2017, with a rather sizable surplus. Also, from 2015-2018, administrative expenses for County Schools increased 35% and the County spends proportionately more on administration than our more successful peers. For instance, in real dollar terms, the County schools spend approximately $11 million more on administration than Montgomery County. So, there may be opportunities for efficiencies that would transfer spending from administration to more mission critical items in the School budget. Additionally, the County has previously turned down federal grant money that would have hired 52 new and desperately needed firefighters. As such, I am not supportive of seeking additional revenues from taxpayers when there may be clear and obtainable opportunities for budget optimization available.",Should the county develop small area plans as part of the upcoming General Development Plan and Comprehensive rezoning process?,The Teachers Association of Anne Arundel County continues to advocate for a return of step increases given up during the 2008 recession. Should the County Council fund these increases?,"Do you support maximizing revenue under the county tax cap, or seeking additional revenues to support increased spending on education, public safety or other initiatives?",Development,Teachers,Taxes
,YES,Anne Arundel,County Council,2,Allison Pickard,Pickard,7/11/1972,Millersville,Democratic,"Bachelor of Science in. Sociology, minor Political Science: College of Charleston Masters Level Graduate certificate in Non-Profit Management: Georgetown University",Constituent Service with US Senator Hollings 2 Years of Service with AmeriCorps 12 year career working in Senior Housing and Community Services. Anne Arundel County Council of PTAs Anne Arundel County Board of Education Anne Arundel County School Board Appt. Commission,http://allisonpickard.com,FriendsofAPickard,allison_pickard,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/296249/4299924/179-f894b5c7a487c59b1a20dd0e13367633_IMG_2195.jpg,"The General Development Plan process must include small area plans. In fact, it would beneficial to perform an audit of the Small Area Plan recommendations from our GDP of over a decade ago. As I study the Glen Burnie Small Area Plan of 2004, it is clear that many of the recommendations have never materialized. Convening a group of community members to work on a new vision for the Greater Glen Burnie area is a must.","I am a strong advocate for increased compensation for our Teachers in Anne Arundel. I am also a strong advocate for reducing our class size issues which will require hundreds of additional teachers. The budget process for funding our school system requires the Board of Education to make a formal budget request, the County Executive to allocate funds, and then County Council can only add additional funds by taking from other categories. Any County dollars allocated for Instructional staff in the school system budget then go through a collective bargaining process between Board of Education and Teachers Association of Anne Arundel County. The County Council does not have the authority to dictate how budget increases for teachers are dispersed. Those details must be negotiated.",I believe we can meet our needs within the county by maximizing revenue within the legal confines of our county tax revenue cap as well as leveraging opportunities for public/private partnerships and state/federal grant opportunities.,Should the county develop small area plans as part of the upcoming General Development Plan and Comprehensive rezoning process?,The Teachers Association of Anne Arundel County continues to advocate for a return of step increases given up during the 2008 recession. Should the County Council fund these increases?,"Do you support maximizing revenue under the county tax cap, or seeking additional revenues to support increased spending on education, public safety or other initiatives?",Development,Teachers,Taxes
,YES,Anne Arundel,County Council,4,Andrew C. Pruski,Pruski,11/11/1978,Gambrills,Democratic,BA History MS Education,Former High School Social Studies Teacher Current Supervisor in Prince George's County Public Schools,http://www.andrewpruski.com,votepruski,andrew_Pruski,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/296249/4299924/44-256a4879bce169d4b8d8fcc2473a54f5_Pruski_pic.jpg,"Yes, the Small Area plans should be incorporated in the upcoming GDP and comp rezoning. Community involvement is essential for the future.","Yes, I think the County Executive should fund step increases that were lost. The County Council cannot add to the budget. The County Executive needs to provide funds to help teachers catch up.","Yes, I believe we should tax to the current cap. Unfortunately, several members of the current council and County Executive want to provide additional tax cuts. Anne Arundel already has numerous infrastructure needs and we should use the revenue to invest in the future.",Should the county develop small area plans as part of the upcoming General Development Plan and Comprehensive rezoning process?,The Teachers Association of Anne Arundel County continues to advocate for a return of step increases given up during the 2008 recession. Should the County Council fund these increases?,"Do you support maximizing revenue under the county tax cap, or seeking additional revenues to support increased spending on education, public safety or other initiatives?",Development,Teachers,Taxes
